Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_per_Unit,Total_Amount,Store_Location,Payment_Method,Customer_Type,Discount_Applied,Final_Amount,Day_of_the_Week,Sales_Representative,Total_Amount_Normalized,Final_Amount_Normalized
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,New York,Cash,New,12.92,26.124,Monday,Mr. Timothy Kent Jr.,0.00202020202020202,0.0024690559996767983
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,Houston,Credit Card,VIP,15.44,1014.72,Monday,Billy Hamilton,0.47474747474747475,0.40186345754700303
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,Los Angeles,Mobile Payment,VIP,5.72,1414.2,Monday,Donna Lewis,0.5959595959595959,0.5632540311788262
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,San Francisco,Cash,Returning,18.36,734.76,Tuesday,Sarah Farley,0.35353535353535354,0.28875915947459585
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,Los Angeles,Credit Card,New,6.22,937.8,Monday,Wendy Owens MD,0.3939393939393939,0.3707876516899893
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,Seattle,Mobile Payment,VIP,15.96,63.03,Thursday,Steven Ramsey,0.020202020202020204,0.01737914038551856
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,Seattle,Credit Card,New,13.06,65.205,Monday,Sarah Farley,0.020202020202020204,0.018257843944267972
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,Seattle,Debit Card,Returning,16.2,251.4,Sunday,Nicholas Wolf,0.1111111111111111,0.09348092859776082
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,Chicago,Credit Card,New,13.91,86.09,Thursday,Lisa Riley,0.030303030303030304,0.02669541811644337
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,New York,Debit Card,New,12.98,1305.3,Friday,Kathryn Baker,0.5959595959595959,0.5192582529959245
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,New York,Mobile Payment,Returning,0.73,119.124,Tuesday,David Nguyen,0.03838383838383838,0.04004120816689307
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,New York,Debit Card,Returning,1.81,883.71,Wednesday,Terri Reilly,0.35353535353535354,0.3489352031875729
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,Houston,Mobile Payment,Returning,7.47,27.759,Saturday,Wendy Owens MD,0.00202020202020202,0.0031295986748746335
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,Los Angeles,Cash,VIP,9.18,1089.84,Monday,David Saunders,0.47474747474747475,0.43221206045884475
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,Miami,Debit Card,New,14.74,42.63,Wednesday,Steven Ramsey,0.010101010101010102,0.009137507006903378
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,New York,Cash,Returning,3.3,145.04999999999998,Monday,Terri Reilly,0.050505050505050504,0.05051535458718607
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,Boston,Credit Card,VIP,5.08,189.84,Sunday,Benjamin Martinez,0.0707070707070707,0.06861058787288088
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,Houston,Credit Card,Returning,10.16,89.84,Wednesday,Terri Reilly,0.030303030303030304,0.02821042425221822
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,Houston,Mobile Payment,New,18.99,40.505,Sunday,Nicholas Wolf,0.010101010101010102,0.008279003529964296
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,San Francisco,Cash,VIP,5.55,94.45,Tuesday,Nicholas Wolf,0.030303030303030304,0.030072871795130768
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,Seattle,Mobile Payment,VIP,10.85,1783.0,Tuesday,Joyce Barnes,0.797979797979798,0.7122498346118301
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,Boston,Credit Card,Returning,6.41,28.077,Thursday,Russell Dunn,0.00202020202020202,0.003258071195188341
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,Seattle,Cash,Returning,4.27,1148.76,Monday,Terri Reilly,0.47474747474747475,0.45601583686413927
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,Chicago,Debit Card,VIP,10.37,268.89,Friday,Terri Reilly,0.1111111111111111,0.10054691721501471
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,New York,Mobile Payment,Returning,13.03,65.2275,Sunday,Thomas Jackson,0.020202020202020204,0.018266933981082624
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,Chicago,Cash,VIP,18.88,243.36,Tuesday,Richard Harris,0.1111111111111111,0.09023275544265955
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,Houston,Mobile Payment,Returning,11.52,88.48,Friday,Richard Harris,0.030303030303030304,0.02766098202697721
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,Miami,Mobile Payment,New,8.54,1829.2,Tuesday,Thomas Jackson,0.797979797979798,0.7309147102045763
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,New York,Debit Card,New,13.54,77.81400000000001,Monday,Sarah Farley,0.026262626262626262,0.02335190057519733
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,New York,Debit Card,Returning,18.82,1623.6,Wednesday,Benjamin Martinez,0.797979797979798,0.6478519738004938
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,New York,Credit Card,Returning,6.98,186.04,Thursday,Thomas Jackson,0.0707070707070707,0.0670753816552957
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,San Francisco,Debit Card,VIP,16.8,83.2,Saturday,Kevin Mitchell,0.030303030303030304,0.025527853387806217
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,San Francisco,Credit Card,Returning,1.21,98.79,Sunday,David Nguyen,0.030303030303030304,0.03182623889626753
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,Chicago,Debit Card,New,8.31,1375.35,Saturday,Donna Lewis,0.5959595959595959,0.5475585676121988
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,Houston,Mobile Payment,VIP,1.14,296.58,Tuesday,Benjamin Martinez,0.1111111111111111,0.1117337225215762
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,San Francisco,Credit Card,New,14.95,51.03,Sunday,David Nguyen,0.014141414141414142,0.012531120751039041
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,Boston,Mobile Payment,VIP,7.18,46.41,Wednesday,Sarah Farley,0.010101010101010102,0.010664633191764425
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,Boston,Debit Card,VIP,5.38,189.24,Tuesday,Russell Dunn,0.0707070707070707,0.06836818689115691
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,Houston,Credit Card,New,2.31,97.69,Saturday,Billy Hamilton,0.030303030303030304,0.031381837096440234
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,Miami,Credit Card,Returning,16.45,75.19500000000001,Tuesday,David Saunders,0.026262626262626262,0.022293820289972174
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,New York,Cash,Returning,16.33,125.505,Monday,Joyce Barnes,0.050505050505050504,0.042619142607527555
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,San Francisco,Credit Card,New,12.77,78.50699999999999,Wednesday,Philip Mcbride,0.026262626262626262,0.023631873709088515
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,Seattle,Mobile Payment,Returning,1.42,98.58,Wednesday,David Saunders,0.030303030303030304,0.031741398552664134
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,Los Angeles,Credit Card,New,14.92,425.4,Wednesday,Philip Mcbride,0.1919191919191919,0.16377721329771383
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,Chicago,Mobile Payment,Returning,13.25,1734.9999999999998,Sunday,Nicholas Wolf,0.797979797979798,0.692857756073912
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,Miami,Cash,Returning,3.32,29.004,Saturday,Russell Dunn,0.00202020202020202,0.003632580711951884
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,Los Angeles,Debit Card,Returning,1.69,491.55,Saturday,Sarah Farley,0.1919191919191919,0.1905019215327822
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,Boston,Mobile Payment,Returning,9.84,108.192,Friday,Donna Lewis,0.03838383838383838,0.03562466227988223
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,Chicago,Cash,Returning,19.8,1604.0,Friday,Benjamin Martinez,0.797979797979798,0.6399335417308439
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,Chicago,Debit Card,Returning,15.85,841.5,Friday,Tara Herrera,0.3939393939393939,0.3318822941232912
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,Chicago,Mobile Payment,New,4.66,57.204,Friday,Richard Harris,0.014141414141414142,0.015025426852978755
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,Seattle,Debit Card,Returning,16.77,499.38,Tuesday,Nicholas Wolf,0.23232323232323232,0.19366525434428009
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,Miami,Mobile Payment,VIP,7.7,923.0,Friday,Thomas Jackson,0.3939393939393939,0.3648084274741312
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,New York,Debit Card,VIP,11.08,88.92,Sunday,Mr. Timothy Kent Jr.,0.030303030303030304,0.027838742746908122
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,Seattle,Credit Card,Returning,18.27,980.76,Sunday,Steven Ramsey,0.47474747474747475,0.38814356198142597
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,New York,Credit Card,VIP,17.53,24.741,Friday,Lisa Riley,0.00202020202020202,0.0019103217368030341
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,Boston,Cash,Returning,5.0,570.0,Sunday,Richard Harris,0.23232323232323232,0.22219584989319202
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,Los Angeles,Debit Card,New,12.29,43.855,Friday,Mr. Timothy Kent Jr.,0.010101010101010102,0.009632409011256494
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,Chicago,Mobile Payment,Returning,0.86,24.785,Tuesday,David Saunders,0.0,0.001928097808796126
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,Chicago,Cash,New,14.22,857.8,Sunday,David Nguyen,0.3939393939393939,0.33846752079345915
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,Boston,Debit Card,Returning,17.72,411.4,Tuesday,Benjamin Martinez,0.1919191919191919,0.15812119039082106
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,Boston,Cash,Returning,3.38,48.31,Thursday,Benjamin Martinez,0.010101010101010102,0.011432236300557017
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,Chicago,Debit Card,New,19.69,963.72,Friday,Sarah Farley,0.47474747474747475,0.38125937410046506
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,New York,Mobile Payment,VIP,1.56,73.83,Wednesday,Donna Lewis,0.020202020202020204,0.021742358056550126
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,Seattle,Cash,VIP,8.64,1827.2,Wednesday,Sarah Farley,0.797979797979798,0.7301067069321631
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,Boston,Cash,VIP,18.36,734.76,Sunday,Russell Dunn,0.35353535353535354,0.28875915947459585
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,Miami,Cash,New,17.73,1234.05,Wednesday,David Nguyen,0.5959595959595959,0.49047313641620244
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,New York,Debit Card,New,3.88,1441.8000000000002,Saturday,Nicholas Wolf,0.5959595959595959,0.5744044763381292
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,New York,Credit Card,New,16.69,41.655,Wednesday,Kathryn Baker,0.010101010101010102,0.008743605411601917
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,Boston,Debit Card,VIP,4.94,95.06,Saturday,Kevin Mitchell,0.030303030303030304,0.03031931279321681
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,Houston,Mobile Payment,VIP,1.08,1483.8,Sunday,Steven Ramsey,0.5959595959595959,0.5913725450588074
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,Miami,Mobile Payment,New,8.62,27.414,Wednesday,Nicholas Wolf,0.00202020202020202,0.0029902181103833476
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,New York,Mobile Payment,New,0.07,999.3,Wednesday,Tara Herrera,0.3939393939393939,0.39563375231669684
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,New York,Credit Card,Returning,15.95,1681.0,Tuesday,Kevin Mitchell,0.797979797979798,0.6710416677187542
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,Los Angeles,Credit Card,Returning,2.51,146.235,Monday,Richard Harris,0.050505050505050504,0.05099409652609093
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,San Francisco,Cash,Returning,1.15,49.425,Sunday,Mr. Timothy Kent Jr.,0.010101010101010102,0.011882698124927404
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,San Francisco,Cash,Returning,16.34,167.32,Sunday,Donna Lewis,0.0707070707070707,0.05951247102550765
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,Boston,Mobile Payment,VIP,8.62,109.656,Tuesday,Lisa Riley,0.03838383838383838,0.03621612067528873
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,Chicago,Mobile Payment,New,10.41,53.754000000000005,Monday,Philip Mcbride,0.014141414141414142,0.013631621208065893
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,Houston,Cash,VIP,5.07,1898.6,Friday,Sarah Farley,0.797979797979798,0.7589524237573161
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,Houston,Credit Card,VIP,5.39,94.61,Tuesday,Terri Reilly,0.030303030303030304,0.03013751205692383
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,Los Angeles,Debit Card,VIP,5.14,85.374,Thursday,Steven Ramsey,0.026262626262626262,0.026406152944919423
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,Miami,Mobile Payment,VIP,11.91,44.045,Monday,Philip Mcbride,0.010101010101010102,0.009709169322135756
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,Los Angeles,Credit Card,Returning,8.73,456.35,Wednesday,Billy Hamilton,0.1919191919191919,0.17628106393830895
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,San Francisco,Debit Card,Returning,3.5,579.0,Sunday,Benjamin Martinez,0.23232323232323232,0.22583186461905166
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,Boston,Debit Card,New,5.62,471.9,Sunday,Wendy Owens MD,0.1919191919191919,0.18256328938132196
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,Chicago,Debit Card,Returning,18.41,489.54,Monday,Lisa Riley,0.23232323232323232,0.18968987824400688
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,New York,Credit Card,VIP,4.56,190.88,Sunday,Billy Hamilton,0.0707070707070707,0.06903074957453577
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,Los Angeles,Credit Card,Returning,16.52,751.3199999999999,Thursday,Benjamin Martinez,0.35353535353535354,0.29544942657017753
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,Chicago,Cash,VIP,2.83,48.585,Wednesday,Terri Reilly,0.010101010101010102,0.01154333675051384
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,Los Angeles,Debit Card,New,17.05,41.475,Sunday,David Saunders,0.010101010101010102,0.008670885117084724
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,New York,Mobile Payment,New,12.59,524.46,Monday,David Nguyen,0.23232323232323232,0.2037976153803423
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,Boston,Mobile Payment,VIP,17.77,822.3000000000001,Saturday,Tara Herrera,0.3939393939393939,0.324125462708124
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,San Francisco,Debit Card,Returning,13.06,173.88,Thursday,Lisa Riley,0.0707070707070707,0.06216272175902312
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,Boston,Cash,VIP,12.96,1740.8,Friday,Nicholas Wolf,0.797979797979798,0.6952009655639104
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,Los Angeles,Credit Card,New,5.73,28.281,Saturday,Billy Hamilton,0.00202020202020202,0.003340487528974492
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,Chicago,Cash,Returning,15.61,42.195,Thursday,David Saunders,0.010101010101010102,0.008961766295153495
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,Chicago,Cash,New,5.14,1138.32,Thursday,Thomas Jackson,0.47474747474747475,0.45179805978214205
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,Seattle,Mobile Payment,New,11.29,44.355,Monday,Thomas Jackson,0.010101010101010102,0.009834409829359807
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,Los Angeles,Credit Card,Returning,15.07,1273.9499999999998,Saturday,Kevin Mitchell,0.5959595959595959,0.5065928017008468
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,Chicago,Mobile Payment,VIP,16.8,62.4,Thursday,Russell Dunn,0.020202020202020204,0.017124619354708385
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,Boston,Debit Card,VIP,7.35,185.3,Monday,Lisa Riley,0.0707070707070707,0.0667764204445028
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,Chicago,Credit Card,VIP,9.67,270.99,Thursday,Lisa Riley,0.1111111111111111,0.10139532065104864
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,San Francisco,Credit Card,VIP,15.29,50.826,Tuesday,Billy Hamilton,0.014141414141414142,0.01244870441725289
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,Chicago,Mobile Payment,Returning,18.73,60.9525,Wednesday,Benjamin Martinez,0.020202020202020204,0.016539826986299293
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,Boston,Cash,New,19.64,96.432,Friday,Sarah Farley,0.03838383838383838,0.030873603038092303
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,Los Angeles,Cash,New,17.22,41.39,Friday,Kathryn Baker,0.010101010101010102,0.00863654497800716
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,Chicago,Mobile Payment,Returning,5.04,1899.2,Tuesday,Billy Hamilton,0.797979797979798,0.7591948247390401
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,San Francisco,Cash,VIP,18.58,814.2,Saturday,Donna Lewis,0.3939393939393939,0.32085304945485027
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,Los Angeles,Credit Card,New,12.65,786.15,Monday,Philip Mcbride,0.35353535353535354,0.3095208035592544
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,San Francisco,Credit Card,New,11.53,1769.4,Wednesday,Lisa Riley,0.797979797979798,0.7067554123594201
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,Boston,Credit Card,New,2.56,97.44,Saturday,Kathryn Baker,0.030303030303030304,0.03128083668738858
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,Chicago,Debit Card,VIP,10.72,1785.6,Saturday,Donna Lewis,0.797979797979798,0.7133002388659673
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,San Francisco,Credit Card,Returning,1.4,591.6,Monday,David Nguyen,0.23232323232323232,0.23092228523525518
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,Seattle,Credit Card,Returning,12.92,174.16,Wednesday,Kevin Mitchell,0.0707070707070707,0.06227584221716098
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,San Francisco,Mobile Payment,VIP,18.86,81.14,Friday,David Saunders,0.030303030303030304,0.02469561001722057
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,Los Angeles,Debit Card,New,15.73,842.7,Wednesday,Richard Harris,0.3939393939393939,0.33236709608673914
